Category,Model Name,Asset Name,Location,Due Date / Issued,Calib Due/ Done Date,Atch,Parent Asset,Options
Dies_Tools,GDC Tool for Tag Adapter,(1) Tag Tool - 001,CO-CASTFAB ENGINEERING INDIA PVT LTD,null,01-01-2000~01-01-2000,,null,
Lathe Tool,TC Reamer Dia 4.8xSHK dia 6,(2) Reamer-001,Magdyn,null,01-01-2000~01-01-2000,,null,
Lathe Tool,TC Reamer Dia 4.8xSHK dia 6,(3) Reamer-002,Magdyn,null,01-01-2000~01-01-2000,,null,
Lathe Tool,TC Reamer Dia 4.8xSHK dia 6,(4) Reamer-003,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,Bore Gauge,(5) G-0001,CO-Sharp Technologies of engineering,2021-09-16 07:56:00~2021-09-09 07:57:00,01-01-2000~01-01-2000,,null,
Gauges,10-32 UNF 2B Guage,(6) Guage-00001,Magdyn,null,14-03-2024~15-03-2022,,null,
Gauges,1/4-20 UNC 2B Gauge-Go-HR605 NOGo-JK025,"(7) PRH 14290,14355",Magdyn,null,07-05-2026~08-05-2024,,null,
Gauges,3.62/16 2 UNF Gauge,(8) Guage-00003,Magdyn,null,01-01-2000~01-01-2000,,null,
Gauges,1x11 1/2 X1-PT L1 Basic,(9) Guage-00004,Magdyn,null,01-01-2000~01-01-2000,,null,
Measuring Instruments,Mitutoyo Digital Vernier 150mm/0.01mm,(10) Sr.No. 06592058,Vendor,null,21-11-2025~22-11-2024,,null,
Measuring Instruments,Mitutoyo Digital Vernier 0-200mm,(11) 07251059,CO-Rajeev,2026-12-31 14:46:03~2026-01-07 14:46:03,21-11-2025~22-11-2024,,null,
Measuring Instruments,MGW Digital depth Vernier 1-600mm,(12) AAA15929,Magdyn,null,10-02-2025~11-02-2023,,null,
Measuring Instruments,INSIZE Digital Vernier Caliper 300mm,(13) 0509223089,Magdyn,null,12-01-2025~13-01-2023,,null,
Measuring Instruments,Mitutoyo Digital Vernier Caliper 0-200mm,(14) A22228620,Magdyn,null,21-11-2025~22-11-2024,,null,
Measuring Instruments,INSIZE Digital Vernier Caliper0-200mm,(15) 2007221801,Magdyn,null,12-01-2025~13-01-2023,,null,
Measuring Instruments,Mitutoyo Dial Test Indicator 0.01 -0.8mm,(16) BWVY58,Magdyn,null,12-01-2025~13-01-2023,,null,
Gauges,Hangshao Slip Gauge Blocks,(17) 32749,Magdyn,null,21-11-2025~22-11-2024,,null,
Measuring Instruments,Mitutoyo Dial Test Indicator 0.001-0.14mm,(18) BYWW16,Magdyn,null,12-01-2025~13-01-2023,,null,
Gauges,Plain Ring Gauge ,(20) 001,Magdyn,null,03-08-2024~04-08-2022,,null,
Dies_Tools,Universal Length Measuring Machine 0-100mm 01-600C,(22) 6141,CO-Absolute JP,null,28-02-2024~01-03-2022,,null,
Gauges,6-32UNC -2B (GO & NGO) Thread Plug Gauge,(23) 240329-1,Magdyn,null,10-12-2025~11-12-2023,,null,
Gauges,1/2-13 UNC-2A GO & NGO ,"(24) SFH7895, SKH6319",Magdyn,null,15-02-2025~16-02-2023,,null,
Dies_Tools,Steel Parallels (250x60x30)mm,(25) 27204-1,Magdyn,null,08-04-2024~08-04-2023,,null,
Dies_Tools,Cast Iron Box Angle Plate (150x150x150)mm,(26) CI-BAP-202303,Magdyn,null,03-03-2025~04-03-2023,,null,
Dies_Tools,Magnetic 'V' Block (75x55x75)mm,(27) Magnetic 'V' Block (75x55x75)mm-3''-1,Magdyn,null,28-12-2024~29-12-2022,,null,
Gauges,EGT-25-2-2BM,(28) EXL-230115A,Magdyn,null,31-12-2024~01-01-2023,,null,
Dies_Tools,Non Magnetic 'V' Block (100x80x80)mm,(29) 218,Magdyn,null,18-12-2024~19-12-2022,,null,
Dies_Tools,Cast Iron Surface Plate (400x400)mm,(30) CSP202302,Magdyn,null,01-01-2026~02-01-2023,,null,
Gauges,Mitutoyo Digital Height Gauge 0-300mm,(35) 3013571,Magdyn,null,21-11-2025~22-11-2024,,null,
Measuring Instruments,YAMATO Vernier Caliper 0-450mm,(36) 69108,Magdyn,null,30-09-2018~01-10-2016,,null,
Gauges,Plain Plug Gauge dia 4.83 - 4.92mm ,(38) MAG-OYN-011,Magdyn,null,15-10-2021~16-10-2019,,null,
Gauges,Solicarb OTR Ring Plain Plug Gauge 60.330-60.370mm,(39) 18-19/805,Magdyn,null,05-08-2020~06-08-2018,,null,
Measuring Instruments,Mitutoyo Inside Micrometer 50 to 500mm ,(40) 7002935,Magdyn,null,15-10-2021~16-10-2019,,null,
